ofbeldisfullur	lo	l		 	Lýsingarorð yfir fólk, sem hefur neikvæða merkingu og gæti talist óviðeigandi. Lýsir neikvæðum atriðum í fari fólks (ekki útliti)					
ofsóknarbrjálaður	lo	l		 	Lýsingarorð yfir fólk, sem hefur neikvæða merkingu og gæti talist óviðeigandi. Lýsir neikvæðum atriðum í fari fólks (ekki útliti)					
ofsóttur	lo	l		 	Lýsingarorð yfir fólk, sem hefur neikvæða merkingu og gæti talist óviðeigandi. Lýsir neikvæðum atriðum í fari fólks (ekki útliti)					
ofstækisfullur	lo	l		 	Lýsingarorð yfir fólk, sem hefur neikvæða merkingu og gæti talist óviðeigandi. Lýsir neikvæðum atriðum í fari fólks (ekki útliti)					
öfundsjúkur	lo	l	e	 	Lýsingarorð yfir fólk, sem hefur neikvæða merkingu og gæti talist óviðeigandi. Lýsir neikvæðum atriðum í fari fólks (ekki útliti)					
ógeðslegur	lo	l		 	Lýsingarorð yfir fólk, sem hefur neikvæða merkingu og gæti talist óviðeigandi. Lýsir neikvæðum atriðum í fari fólks (ekki útliti)					
óglaður	lo	l		 	Lýsingarorð yfir fólk, sem hefur neikvæða merkingu og gæti talist óviðeigandi. Lýsir neikvæðum atriðum í fari fólks (ekki útliti)					
óheiðarlegur	lo	l		 	Lýsingarorð yfir fólk, sem hefur neikvæða merkingu og gæti talist óviðeigandi. Lýsir neikvæðum atriðum í fari fólks (ekki útliti)					
ökuhæfur	lo	l		 	Lýsingarorð yfir fólk, sem hefur neikvæða merkingu og gæti talist óviðeigandi. Lýsir neikvæðum atriðum í fari fólks (ekki útliti)					
ómennskur	lo	l		 	Lýsingarorð yfir fólk, sem hefur neikvæða merkingu og gæti talist óviðeigandi. Lýsir neikvæðum atriðum í fari fólks (ekki útliti)					
óökuhæfur	lo	l		 	Lýsingarorð yfir fólk, sem hefur neikvæða merkingu og gæti talist óviðeigandi. Lýsir neikvæðum atriðum í fari fólks (ekki útliti)					
orðljótur	lo	l		 	Lýsingarorð yfir fólk, sem hefur neikvæða merkingu og gæti talist óviðeigandi. Lýsir neikvæðum atriðum í fari fólks (ekki útliti)					
ormétinn	lo	l		 	Lýsingarorð yfir fólk, sem hefur neikvæða merkingu og gæti talist óviðeigandi. Lýsir neikvæðum atriðum í fari fólks (ekki útliti)					
óruglaður	lo	l		 	Lýsingarorð yfir fólk, sem hefur neikvæða merkingu og gæti talist óviðeigandi. Lýsir neikvæðum atriðum í fari fólks (ekki útliti)					
ósannur	lo	l		 	Lýsingarorð yfir fólk, sem hefur neikvæða merkingu og gæti talist óviðeigandi. Lýsir neikvæðum atriðum í fari fólks (ekki útliti)					
óviðræðuhæfur	lo	l		 	Lýsingarorð yfir fólk, sem hefur neikvæða merkingu og gæti talist óviðeigandi. Lýsir neikvæðum atriðum í fari fólks (ekki útliti)					
paranojaður	lo	l		 	Lýsingarorð yfir fólk, sem hefur neikvæða merkingu og gæti talist óviðeigandi. Lýsir neikvæðum atriðum í fari fólks (ekki útliti)	ath sletta				
plebbalegur	lo	l		 	Lýsingarorð yfir fólk, sem hefur neikvæða merkingu og gæti talist óviðeigandi. Lýsir neikvæðum atriðum í fari fólks (ekki útliti)					
próflaus	lo	l		 	Lýsingarorð yfir fólk, sem hefur neikvæða merkingu og gæti talist óviðeigandi. Lýsir neikvæðum atriðum í fari fólks (ekki útliti)					
rænulaus	lo	l		 	Lýsingarorð yfir fólk, sem hefur neikvæða merkingu og gæti talist óviðeigandi. Lýsir neikvæðum atriðum í fari fólks (ekki útliti)					
rænulítill	lo	l		 	Lýsingarorð yfir fólk, sem hefur neikvæða merkingu og gæti talist óviðeigandi. Lýsir neikvæðum atriðum í fari fólks (ekki útliti)					
rasískur	lo	l	þ i	 	Lýsingarorð yfir fólk, sem hefur neikvæða merkingu og gæti talist óviðeigandi. Lýsir neikvæðum atriðum í fari fólks (ekki útliti)					
rasist	lo	l	þ	 	Lýsingarorð yfir fólk, sem hefur neikvæða merkingu og gæti talist óviðeigandi. Lýsir neikvæðum atriðum í fari fólks (ekki útliti)	enska 'racist'				
ruddalegur	lo	l		 	Lýsingarorð yfir fólk, sem hefur neikvæða merkingu og gæti talist óviðeigandi. Lýsir neikvæðum atriðum í fari fólks (ekki útliti)					
samræðisgjarn	lo	l	y		Lýsingarorð yfir fólk, sem hefur neikvæða merkingu og gæti talist óviðeigandi. Lýsir neikvæðum atriðum í fari fólks (ekki útliti)					
seinlátur	lo	l			Lýsingarorð yfir fólk, sem hefur neikvæða merkingu og gæti talist óviðeigandi. Lýsir neikvæðum atriðum í fari fólks (ekki útliti)					
sexy	lo	l	y	 	Lýsingarorð yfir fólk, sem hefur neikvæða merkingu og gæti talist óviðeigandi. Lýsir neikvæðum atriðum í fari fólks (ekki útliti)	ath enska				
