Heimskuorð	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11
naut	no	h	n	heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.		x				
nautheimskur	lo	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						"
"
nautshaus	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.		x				
nautska	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						
óhyggni	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						
óráð	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						
örviti	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						
ósnilli	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						
óviska	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						
ráðleysi	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						
ráfa	no	h	k - kk	rati, auli	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.	Skapgerð: Flón, kjáni					
rataskapur	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						
rati	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						
rati	no	h	k - kk	kjáni, auli	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.	Skapgerð: Flón, kjáni					
rugludallur	no	h	n	heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						"
"
rýna	no	h	k - kk	treggáfaður maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.	Skapgerð: Flón, kjáni	x				
sálarþynnka	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						
sauðarhaus	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						
sauðheimskur	lo	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						"
"
sauður	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.		x				
skoffín	no	h	n	heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						"
"
skýjaglópur	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						
skynskiptingur	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						
snápur	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						
snápur	no	h	k - kk	auli, heimskingi	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.	Skapgerð: Flón, kjáni					
stórflón	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						
sullukollur	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						
tossi	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						
trassaskapur	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						
tröllheimskur	lo	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						"
"
umskiptingur	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						
vanhyggja	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						
vanvit	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						
vingull	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						
vitgrannur	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						
vitleysingur	no	h	n	heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						"
"
vitsmunaskortur	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						
þöngulhaus	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.						"
"
þorskhaus	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.		x				"
"
þorskur	no	h	k - kk	auli, heimskingi, skilningssljór maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.	Skapgerð: Flón, kjáni	x				
þurs	no	h		heimskur maður	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.		x				
