Önnur merking (ekki óviðeigandi)									
										
orð	orðfl.	kóði	kóði2	merking	önnur merking (ekki óviðeigandi)	Óviðeigandi ástæða	Annað tilfallandi			
taðrambur	no	u	k/kk	stuttur og kurfslegur	x (stuttur og kurfslegur)	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Lágvaxinn, kubbslegur karlmaður			
Tæja	no	þ		Taílenskar konur	x (rífa upp, reyta)	Niðrandi orð yfir fólk af ákveðnu þjóðerni/kynþætti - minnihlutahópar				
tík	no	k/kvk		ómerkilegur kvenmaður	x (kvenhundur)	niðrandi/ljót orð yfir konur	Almenn ljót orð um konur			
tísill	no	u	k/kk	smávaxinn maður; lítið og óburðugt dýr	x (lítið og óburðugt dýr)	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Lágvaxinn, kubbslegur karlmaður			
tittur	no	u			x (pinni)	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.				
tuðull	no	u	k/kk	smávaxinn maður, kurfur	x (smávaxinn maður, kurfur)	Niðrandi orð um manneskju, dregur fram neikvæða eiginleika í útliti.	Vaxtarlag: Lágvaxinn, kubbslegur karlmaður			
vinnukona	no	m	k		x	Heiti yfir fagstéttir sem teljast úrelt og hafa tekið upp önnur heiti				
Vinnukona	no	k		rúðuþurrka (ATH tvær merkingar orðsins vinnukona)	x (kona sem vinnur húsverk á bæ)	felur í sér óviðeigandi kynjun, sem kemur merkingu orðsins ekki við				
þorskhaus	no	h		heimskur maður	x	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.				
þorskur	no	h		heimskur maður	x	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.				
þorskur	no	h	k - kk	auli, heimskingi, skilningssljór maður	x	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.	Skapgerð: Flón, kjáni			
þurs	no	h		heimskur maður	x	Gefur í skyn fáfræði einstaklings, yfirleitt sem meiðyrði eða á niðrandi hátt.				
